Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD),Distance_from_Tehran_km
63,1,True,True,True,Shahran,1850000000.0,61666.67,12.96
60,1,True,True,True,Shahran,1850000000.0,61666.67,12.96
79,2,True,True,True,Pardis,550000000.0,18333.33,39.02
95,2,True,True,True,Shahrake Qods,902500000.0,30083.33,
123,2,True,True,True,Shahrake Gharb,7000000000.0,233333.33,
70,2,True,True,False,North Program Organization,2050000000.0,68333.33,
87,2,True,True,True,Pardis,600000000.0,20000.0,39.02
59,1,True,True,True,Shahran,2150000000.0,71666.67,12.96
54,2,True,True,False,Andisheh,493000000.0,16433.33,32.57
71,1,True,True,True,West Ferdows Boulevard,2370000000.0,79000.0,
68,2,True,True,True,West Ferdows Boulevard,2450000000.0,81666.67,
64,1,True,True,True,Narmak,2100000000.0,70000.0,11.66
54,1,False,True,True,Narmak,1690000000.0,56333.33,11.66
136,3,True,True,True,Saadat Abad,11000000000.0,366666.67,10.8
95,2,True,True,True,Zafar,5000000000.0,166666.67,9.04
63,1,False,True,False,Islamshahr,570000000.0,19000.0,
155,3,True,True,True,Narmak,6700000000.0,223333.33,11.66
64,2,False,True,False,Pirouzi,1450000000.0,48333.33,6.17
140,3,True,True,True,West Ferdows Boulevard,6400000000.0,213333.33,
42,1,False,True,False,Pirouzi,1390000000.0,46333.33,6.17
93,2,True,True,True,Shahrake Gharb,7000000000.0,233333.33,
87,2,True,True,True,Shahrake Shahid Bagheri,2500000000.0,83333.33,
65,1,True,True,True,Shahran,1880000000.0,62666.67,12.96
99,2,True,True,True,Moniriyeh,2277000000.0,75900.0,1.45
105,2,True,True,True,Saadat Abad,7150000000.0,238333.33,10.8
160,3,True,True,True,Velenjak,14945000000.0,498166.67,13.08
77,2,True,True,True,Amirieh,1771000000.0,59033.33,33.4
123,2,True,True,True,Pirouzi,4059000000.0,135300.0,6.17
110,2,True,True,True,Southern Janatabad,630000000.0,21000.0,
100,2,True,True,True,West Ferdows Boulevard,3200000000.0,106666.67,
90,2,False,True,False,Salsabil,1500000000.0,50000.0,1.56
49,1,True,True,True,West Ferdows Boulevard,2200000000.0,73333.33,
96,2,True,True,True,Zargandeh,7872000000.0,262400.0,10.14
67,2,True,True,False,Feiz Garden,2350000000.0,78333.33,
68,2,True,True,True,West Ferdows Boulevard,2500000000.0,83333.33,
62,1,True,False,True,Water Organization,2150000000.0,71666.67,3.09
55,1,True,True,True,West Ferdows Boulevard,2150000000.0,71666.67,
110,2,True,True,True,West Ferdows Boulevard,3750000000.0,125000.0,
129,2,True,True,True,West Ferdows Boulevard,5250000000.0,175000.0,
109,2,True,True,True,West Ferdows Boulevard,4830000000.0,161000.0,
58,1,True,True,True,Saadat Abad,3400000000.0,113333.33,10.8
55,1,True,True,True,Saadat Abad,3850000000.0,128333.33,10.8
150,2,False,True,True,Shahrake Qods,1200000000.0,40000.0,
130,3,True,True,False,ShahrAra,5000000000.0,166666.67,3.4
88,2,True,True,True,Gisha,4750000000.0,158333.33,5.4
51,1,True,True,True,Gisha,2980000000.0,99333.33,5.4
113,3,True,True,False,Shahrake Gharb,7000000000.0,233333.33,
110,2,True,True,True,Ray,2035000000.0,67833.33,10.87
60,1,True,True,True,Abbasabad,2460000000.0,82000.0,12.27
98,2,True,True,True,Pardis,540000000.0,18000.0,39.02
62,2,False,False,True,Ostad Moein,1450000000.0,48333.33,4.29
150,3,True,True,True,Farmanieh,10000000000.0,333333.33,14.0
75,2,False,False,False,Parand,635000000.0,21166.67,46.42
61,1,True,True,False,Punak,2030000000.0,67666.67,9.76
61,1,True,True,False,Punak,2030000000.0,67666.67,9.76
72,2,True,True,True,Shahran,2350000000.0,78333.33,12.96
100,2,True,True,True,Qasr-od-Dasht,3000000000.0,100000.0,
122,3,True,True,True,Aqdasieh,7200000000.0,240000.0,
215,3,True,True,True,Pakdasht,1750000000.0,58333.33,35.41
101,2,True,True,True,Railway,3300000000.0,110000.0,
67,2,True,True,True,Punak,2800000000.0,93333.33,9.76
72,2,True,True,False,Punak,2200000000.0,73333.33,9.76
63,1,True,True,False,Punak,2200000000.0,73333.33,9.76
75,2,True,True,False,Punak,2200000000.0,73333.33,9.76
109,2,True,True,True,Shahran,3500000000.0,116666.67,12.96
122,2,True,True,True,Aqdasieh,7000000000.0,233333.33,
70,1,True,True,True,Central Janatabad,3100000000.0,103333.33,10.89
60,1,True,True,True,West Ferdows Boulevard,2450000000.0,81666.67,
53,1,True,True,False,East Ferdows Boulevard,1920000000.0,64000.0,
90,1,False,True,False,Pakdasht KhatunAbad,850000000.0,28333.33,32.33
72,2,True,True,True,Amirieh,1650000000.0,55000.0,33.4
74,2,True,True,True,Amirieh,1700000000.0,56666.67,33.4
88,3,False,False,True,Parand,560000000.0,18666.67,46.42
63,1,True,True,True,Punak,2150000000.0,71666.67,9.76
114,3,True,True,True,Sattarkhan,5500000000.0,183333.33,4.81
151,3,True,True,True,Saadat Abad,10200000000.0,340000.0,10.8
42,1,True,False,True,Shahran,1760000000.0,58666.67,12.96
74,2,True,True,True,Amirieh,1700000000.0,56666.67,33.4
88,3,False,False,True,Parand,560000000.0,18666.67,46.42
63,1,True,True,True,Punak,2150000000.0,71666.67,9.76
114,3,True,True,True,Sattarkhan,5500000000.0,183333.33,4.81
151,3,True,True,True,Saadat Abad,10200000000.0,340000.0,10.8
42,1,True,False,True,Shahran,1760000000.0,58666.67,12.96
300,3,True,True,False,Baghestan,1500000000.0,50000.0,23.79
110,2,True,True,True,West Ferdows Boulevard,3730000000.0,124333.33,
100,2,False,False,False,Shahrake Qods,620000000.0,20666.67,
140,1,False,False,False,Shahryar,580000000.0,19333.33,12.61
70,2,True,True,True,Northern Janatabad,3050000000.0,101666.67,9.72
60,2,True,True,False,West Ferdows Boulevard,2000000000.0,66666.67,
76,2,True,True,True,North Program Organization,2600000000.0,86666.67,
148,3,True,True,True,Daryan No,5990000000.0,199666.67,3.83
75,2,True,True,True,North Program Organization,2300000000.0,76666.67,
40,1,True,True,False,Pirouzi,1300000000.0,43333.33,6.17
65,2,True,True,True,Southern Program Organization,2270000000.0,75666.67,
140,3,True,True,True,Rudhen,4000000000.0,133333.33,
110,2,True,True,True,West Pars,4000000000.0,133333.33,
70,2,True,False,True,Afsarieh,1650000000.0,55000.0,10.27
128,3,True,True,True,Marzdaran,6700000000.0,223333.33,7.09
94,2,True,True,True,Parand,580000000.0,19333.33,46.42
67,1,True,True,True,Punak,2300000000.0,76666.67,9.76
75,1,True,True,True,Shahrake Qods,650000000.0,21666.67,
